Vijay Ganesh last commited on Fri Sep 18 00:14:22 2015 -0400
Partial -- LICENSE (first added: Wed Oct 22 19:18:17 2008 +0000)
Complete -- papers/EXE-STP-TISSEC-Journal-2007.pdf (first added: Wed Oct 22 19:18:17 2008 +0000)
Complete -- papers/EXE-STP.pdf (first added: Wed Oct 22 19:18:17 2008 +0000)
Complete -- papers/vijayganesh-stp-paper.pdf (first added: Wed Oct 22 19:18:17 2008 +0000)
Partial -- AUTHORS (first added: Fri Aug 28 21:38:48 2009 +0000)
Inherited -- LICENSE_COMPONENTS (first added: Sat Mar  6 13:48:41 2010 +0000)
Inherited -- windows/winports/sys/time.h (first added: Thu Jun  9 04:28:54 2011 +0000)
Inherited -- README.markdown (first added: Wed Aug 28 20:47:20 2013 -0700)
Inherited -- .travis.yml (first added: Sat Sep 14 22:18:44 2013 -0400)
Inherited -- CMakeLists.txt (first added: Sat Sep 14 22:18:44 2013 -0400)
Inherited -- cmake/README (first added: Sat Sep 14 22:18:44 2013 -0400)
Inherited -- cmake/modules/GetGitRevisionDescription.cmake (first added: Sat Sep 14 22:18:44 2013 -0400)
Inherited -- cmake/modules/GetGitRevisionDescription.cmake.in (first added: Sat Sep 14 22:18:44 2013 -0400)
Inherited -- cmake/modules/cmake_uninstall.cmake.in (first added: Mon Sep 30 11:34:26 2013 -0700)
Inherited -- STPConfig.cmake.in (first added: Fri Oct 18 19:53:54 2013 +0100)
Inherited -- examples/simple/CMakeLists.txt (first added: Sun Oct 20 19:41:40 2013 +0100)
Inherited -- examples/simple/example.c (first added: Sun Oct 20 19:41:40 2013 +0100)
Inherited -- examples/simple/README.md (first added: Wed Dec 11 11:08:06 2013 -0800)
Partial -- tests/api/C/cvc-to-c.cpp (first added: Wed Feb  4 17:58:43 2009 +0000)
Inherited -- tests/api/C/example.smt (first added: Tue Jan 24 04:26:37 2012 +0000)
Inherited -- tests/api/C/f.cvc (first added: Thu Nov 10 11:57:35 2011 +0000)
Complete -- tests/api/C/t.cvc (first added: Thu Dec 18 00:22:36 2008 +0000)
Partial -- tests/query-files/bio-tests/4-alpha-helices-2-rungs.cvc (first added: Tue Aug 11 16:18:36 2009 +0000)
Partial -- tests/query-files/crypto-tests/tea.pl (first added: Mon Mar 22 22:26:51 2010 +0000)
Partial -- tests/query-files/misc-tests/cryptominisat-bug.cvc (first added: Thu Nov 12 23:21:37 2009 +0000)
Partial -- tests/query-files/misc-tests/no-query.cvc (first added: Thu Nov 12 23:21:37 2009 +0000)
Partial -- tests/query-files/sample-cvc-tests/a103test0001.cvc (first added: Mon Nov 16 17:01:45 2009 +0000)
Partial -- tests/query-files/sample-cvc-tests/a105test0001.cvc (first added: Mon Nov 16 17:01:45 2009 +0000)
Partial -- tests/query-files/sample-cvc-tests/a107test0001.cvc (first added: Mon Nov 16 17:01:45 2009 +0000)
Partial -- tests/query-files/sample-cvc-tests/a114test0001.cvc (first added: Mon Nov 16 17:01:45 2009 +0000)
Partial -- tests/query-files/sample-cvc-tests/a115test0002.cvc (first added: Mon Nov 16 17:01:45 2009 +0000)
Partial -- tests/query-files/sample-cvc-tests/a116test0003.cvc (first added: Mon Nov 16 17:01:45 2009 +0000)
Partial -- tests/query-files/sample-cvc-tests/a121test0001.cvc (first added: Mon Nov 16 17:01:45 2009 +0000)
Partial -- tests/query-files/sample-cvc-tests/a122test0002.cvc (first added: Mon Nov 16 17:01:45 2009 +0000)
Partial -- tests/query-files/sample-cvc-tests/a123test0003.cvc (first added: Mon Nov 16 17:01:45 2009 +0000)
Partial -- tests/query-files/sample-cvc-tests/a124test0004.cvc (first added: Mon Nov 16 17:01:45 2009 +0000)
Partial -- tests/query-files/sample-cvc-tests/a126test0001.cvc (first added: Mon Nov 16 17:01:45 2009 +0000)
Partial -- tests/query-files/sample-cvc-tests/a127test0009.cvc (first added: Mon Nov 16 17:01:45 2009 +0000)
Partial -- tests/query-files/sample-cvc-tests/a128test0016.cvc (first added: Mon Nov 16 17:01:45 2009 +0000)
Partial -- tests/query-files/sample-cvc-tests/a12test0001.cvc (first added: Mon Nov 16 17:01:45 2009 +0000)
Partial -- tests/query-files/sample-cvc-tests/a13test0002.cvc (first added: Mon Nov 16 17:01:45 2009 +0000)
Partial -- tests/query-files/sample-cvc-tests/a15test0001.cvc (first added: Mon Nov 16 17:01:45 2009 +0000)
Partial -- tests/query-files/sample-cvc-tests/a163test0021.cvc (first added: Mon Nov 16 17:01:45 2009 +0000)
Partial -- tests/query-files/sample-cvc-tests/a164test0005.cvc (first added: Mon Nov 16 17:01:45 2009 +0000)
Partial -- tests/query-files/sample-cvc-tests/a165test0010.cvc (first added: Mon Nov 16 17:01:45 2009 +0000)
Partial -- tests/query-files/sample-cvc-tests/a166test0014.cvc (first added: Mon Nov 16 17:01:45 2009 +0000)
Partial -- tests/query-files/sample-cvc-tests/a167test0001.cvc (first added: Mon Nov 16 17:01:45 2009 +0000)
Partial -- tests/query-files/sample-cvc-tests/a168test0018.cvc (first added: Mon Nov 16 17:01:45 2009 +0000)
Partial -- tests/query-files/sample-cvc-tests/a169test0012.cvc (first added: Mon Nov 16 17:01:45 2009 +0000)
Partial -- tests/query-files/sample-cvc-tests/a170test0017.cvc (first added: Mon Nov 16 17:01:45 2009 +0000)
Partial -- tests/query-files/sample-cvc-tests/a171test0019.cvc (first added: Mon Nov 16 17:01:45 2009 +0000)
Partial -- tests/query-files/sample-cvc-tests/a172test0002.cvc (first added: Mon Nov 16 17:01:45 2009 +0000)
Partial -- tests/query-files/sample-cvc-tests/a173test0011.cvc (first added: Mon Nov 16 17:01:45 2009 +0000)
Partial -- tests/query-files/sample-cvc-tests/a174test0003.cvc (first added: Mon Nov 16 17:01:45 2009 +0000)
Partial -- tests/query-files/sample-cvc-tests/a175test0013.cvc (first added: Mon Nov 16 17:01:45 2009 +0000)
Partial -- tests/query-files/sample-cvc-tests/a176test0022.cvc (first added: Mon Nov 16 17:01:45 2009 +0000)
Partial -- tests/query-files/sample-cvc-tests/a177test0006.cvc (first added: Mon Nov 16 17:01:45 2009 +0000)
Partial -- tests/query-files/sample-cvc-tests/a178test0007.cvc (first added: Mon Nov 16 17:01:45 2009 +0000)
Partial -- tests/query-files/sample-cvc-tests/a179test0008.cvc (first added: Mon Nov 16 17:01:45 2009 +0000)
Partial -- tests/query-files/sample-cvc-tests/a180test0004.cvc (first added: Mon Nov 16 17:01:45 2009 +0000)
Partial -- tests/query-files/sample-cvc-tests/a181test0020.cvc (first added: Mon Nov 16 17:01:45 2009 +0000)
Partial -- tests/query-files/sample-cvc-tests/a182test0015.cvc (first added: Mon Nov 16 17:01:45 2009 +0000)
Inherited -- tests/query-files/sample-cvc-tests/bvashr-invalid.cvc (first added: Tue Sep 17 18:22:08 2013 -0700)
Inherited -- tests/query-files/sample-cvc-tests/bvashr-valid.cvc (first added: Tue Sep 17 18:22:08 2013 -0700)
Inherited -- tests/query-files/sample-cvc-tests/bvlshr-invalid.cvc (first added: Tue Sep 17 18:22:08 2013 -0700)
Inherited -- tests/query-files/sample-cvc-tests/bvlshr-valid.cvc (first added: Tue Sep 17 18:22:08 2013 -0700)
Inherited -- tests/query-files/sample-cvc-tests/bvshl-invalid.cvc (first added: Tue Sep 17 18:22:08 2013 -0700)
Inherited -- tests/query-files/sample-cvc-tests/bvshl-valid.cvc (first added: Tue Sep 17 18:22:08 2013 -0700)
Partial -- tests/query-files/sample-smt-tests/convert-tiff2jpg-query-1831.smt_68.smt (first added: Fri Aug  7 18:17:22 2009 +0000)
Inherited -- tests/query-files/sample-smt-tests/sign-extend.smt (first added: Wed Dec 11 11:09:42 2013 -0800)
Inherited -- tests/query-files/sample-smt-tests/sign-extend.smt2 (first added: Wed Dec 11 11:09:42 2013 -0800)
Partial -- tests/query-files/sample-smt-tests/working_54.smt (first added: Fri Aug  7 18:17:22 2009 +0000)
Partial -- tests/query-files/sample-smt-tests/working_55.smt (first added: Fri Aug  7 18:17:22 2009 +0000)
Inherited -- tests/query-files/sample-smt-tests/zero-extend.smt2 (first added: Wed Dec 11 11:09:42 2013 -0800)
Inherited -- tests/query-files/unit_test/alwaysTrue.smt2 (first added: Wed May 11 05:17:11 2011 +0000)
Inherited -- tests/query-files/unit_test/bvand.smt2 (first added: Mon Jun 14 13:20:54 2010 +0000)
Inherited -- tests/query-files/unit_test/bvand2.smt2 (first added: Mon Jun 14 13:20:54 2010 +0000)
Inherited -- tests/query-files/unit_test/bvand3.smt2 (first added: Sat Jan 14 03:02:38 2012 +0000)
Inherited -- tests/query-files/unit_test/bvconcat.smt2 (first added: Sun Sep 12 13:55:09 2010 +0000)
Inherited -- tests/query-files/unit_test/bvconcat2.smt2 (first added: Sun Sep 12 13:55:09 2010 +0000)
Inherited -- tests/query-files/unit_test/bvconcat3.smt2 (first added: Sun Sep 12 13:55:09 2010 +0000)
Inherited -- tests/query-files/unit_test/bvge1.smt2 (first added: Mon Apr 11 15:09:31 2011 +0000)
Inherited -- tests/query-files/unit_test/bvge3.smt2 (first added: Sat Jan 14 02:16:46 2012 +0000)
Inherited -- tests/query-files/unit_test/bvmul_minus.smt2 (first added: Tue Jul 12 07:04:35 2011 +0000)
Inherited -- tests/query-files/unit_test/bvnor.smt2 (first added: Mon Jun 14 13:20:54 2010 +0000)
Inherited -- tests/query-files/unit_test/bvnot.smt2 (first added: Mon Apr 11 15:11:08 2011 +0000)
Inherited -- tests/query-files/unit_test/bvor.smt2 (first added: Mon Jun 14 13:20:54 2010 +0000)
Inherited -- tests/query-files/unit_test/bvsge.smt2 (first added: Mon Jun 14 13:20:54 2010 +0000)
Inherited -- tests/query-files/unit_test/bvsgt.smt2 (first added: Mon Jun 14 13:20:54 2010 +0000)
Inherited -- tests/query-files/unit_test/bvsgt2.smt2 (first added: Wed Mar  9 03:45:26 2011 +0000)
Inherited -- tests/query-files/unit_test/bvshift.smt2 (first added: Mon Jun 14 13:20:54 2010 +0000)
Inherited -- tests/query-files/unit_test/bvsolver.smt (first added: Tue Aug 31 13:59:43 2010 +0000)
Inherited -- tests/query-files/unit_test/bvxor.smt2 (first added: Mon Jun 14 13:20:54 2010 +0000)
Inherited -- tests/query-files/unit_test/eq.smt2 (first added: Fri Sep 24 00:32:30 2010 +0000)
Inherited -- tests/query-files/unit_test/eq2.smt2 (first added: Tue Mar  1 12:30:42 2011 +0000)
Inherited -- tests/query-files/unit_test/eqConcat.smt2 (first added: Mon Feb 21 04:26:59 2011 +0000)
Inherited -- tests/query-files/unit_test/harald.smt2 (first added: Wed Feb 23 07:09:20 2011 +0000)
Inherited -- tests/query-files/unit_test/mod.smt2 (first added: Wed Feb 23 07:09:20 2011 +0000)
Inherited -- tests/query-files/unit_test/mod2.smt2 (first added: Mon Mar  7 02:48:14 2011 +0000)
Inherited -- tests/query-files/unit_test/mult.smt2 (first added: Fri Mar 18 12:32:07 2011 +0000)
Inherited -- tests/query-files/unit_test/orAlwaysTrue.smt2 (first added: Sat Jan 14 03:02:38 2012 +0000)
Inherited -- tests/query-files/unit_test/propagate.smt2 (first added: Tue Apr 10 05:07:03 2012 +0000)
Inherited -- tests/query-files/unit_test/pure.smt2 (first added: Wed Feb 23 07:09:20 2011 +0000)
Inherited -- tests/query-files/unit_test/pure2.smt2 (first added: Wed May 11 05:17:11 2011 +0000)
Inherited -- tests/query-files/unit_test/sim.smt2 (first added: Sat Jun 26 08:44:09 2010 +0000)
Inherited -- tests/query-files/unit_test/unc_shift.smt (first added: Sat Aug  6 04:02:44 2011 +0000)
Inherited -- tests/query-files/unit_test/uncon_then_pure.smt (first added: Fri Jul 29 15:33:16 2011 +0000)
Inherited -- tests/query-files/unit_test/unit_test.sh (first added: Mon Jun 14 13:20:54 2010 +0000)
Inherited -- tests/query-files/unit_test/writing_same.smt2 (first added: Wed May 11 05:17:11 2011 +0000)
Inherited -- tests/query-files/unit_test/xor.smt2 (first added: Mon Jun 28 01:46:11 2010 +0000)
Inherited -- tests/query-files/unit_test/xor2.smt2 (first added: Mon Jun 28 11:48:38 2010 +0000)
Inherited -- tests/query-files/unit_test/xor3.smt2 (first added: Tue Sep  7 13:09:42 2010 +0000)
Inherited -- tests/query-files/unit_test/xor4.smt2 (first added: Tue Sep  7 14:21:46 2010 +0000)
Complete -- tests/generated-tests/form_128.var_32.bits_32.cvc (first added: Wed Oct 22 19:18:17 2008 +0000)
Complete -- tests/generated-tests/form_16.var_32.bits_32.cvc (first added: Wed Oct 22 19:18:17 2008 +0000)
Complete -- tests/generated-tests/form_256.var_32.bits_32.cvc (first added: Wed Oct 22 19:18:17 2008 +0000)
Complete -- tests/generated-tests/form_32.var_128.bits_32.cvc (first added: Wed Oct 22 19:18:17 2008 +0000)
